State,County,FIPS,Area,1987_N_FarmFertilizer,1987_N_NonfarmFertilizer,1988_N_FarmFertilizer,1988_N_NonfarmFertilizer,1989_N_FarmFertilizer,1989_N_NonfarmFertilizer,1990_N_FarmFertilizer,1990_N_NonfarmFertilizer,1991_N_FarmFertilizer,1991_N_NonfarmFertilizer,1992_N_FarmFertilizer,1992_N_NonfarmFertilizer,1993_N_FarmFertilizer,1993_N_NonfarmFertilizer,1994_N_FarmFertilizer,1994_N_NonfarmFertilizer,1995_N_FarmFertilizer,1995_N_NonfarmFertilizer,1996_N_FarmFertilizer,1996_N_NonfarmFertilizer,1997_N_FarmFertilizer,1997_N_NonfarmFertilizer,1998_N_FarmFertilizer,1998_N_NonfarmFertilizer,1999_N_FarmFertilizer,1999_N_NonfarmFertilizer,2000_N_FarmFertilizer,2000_N_NonfarmFertilizer,2001_N_FarmFertilizer,2001_N_NonfarmFertilizer,1987_P_FarmFertilizer,1987_P_NonfarmFertilizer,1988_P_FarmFertilizer,1988_P_NonfarmFertilizer,1989_P_FarmFertilizer,1989_P_NonfarmFertilizer,1990_P_FarmFertilizer,1990_P_NonfarmFertilizer,1991_P_FarmFertilizer,1991_P_NonfarmFertilizer,1992_P_FarmFertilizer,1992_P_NonfarmFertilizer,1993_P_FarmFertilizer,1993_P_NonfarmFertilizer,1994_P_FarmFertilizer,1994_P_NonfarmFertilizer,1995_P_FarmFertilizer,1995_P_NonfarmFertilizer,1996_P_FarmFertilizer,1996_P_NonfarmFertilizer,1997_P_FarmFertilizer,1997_P_NonfarmFertilizer,1998_P_FarmFertilizer,1998_P_NonfarmFertilizer,1999_P_FarmFertilizer,1999_P_NonfarmFertilizer,2000_P_FarmFertilizer,2000_P_NonfarmFertilizer,2001_P_FarmFertilizer,2001_P_NonfarmFertilizer,1982_N_ManureUnconfined,1982_N_ManureConfined,1987_N_ManureUnconfined,1987_N_ManureConfined,1992_N_ManureUnconfined,1992_N_ManureConfined,1997_N_ManureUnconfined,1997_N_ManureConfined,1982_P_ManureUnconfined,1982_P_ManureConfined,1987_P_ManureUnconfined,1987_P_ManureConfined,1992_P_ManureUnconfined,1992_P_ManureConfined,1997_P_ManureUnconfined,1997_P_ManureConfined,1985_N_AtmosphericDeposition,1986_N_AtmosphericDeposition,1987_N_AtmosphericDeposition,1988_N_AtmosphericDeposition,1989_N_AtmosphericDeposition,1990_N_AtmosphericDeposition,1991_N_AtmosphericDeposition,1992_N_AtmosphericDeposition,1993_N_AtmosphericDeposition,1994_N_AtmosphericDeposition,1995_N_AtmosphericDeposition,1996_N_AtmosphericDeposition,1997_N_AtmosphericDeposition,1998_N_AtmosphericDeposition,1999_N_AtmosphericDeposition,2000_N_AtmosphericDeposition,2001_N_AtmosphericDeposition
TX,NUECES,48355,"2,217","8,887,893","63,119","10,365,999","109,960","6,248,840","99,359","8,667,237","221,823","9,391,870","124,332","8,841,249","131,701","9,622,194","169,893","10,606,931","205,914","8,981,599","152,558","9,050,438","159,747","9,423,883","154,701","9,698,551","124,411","10,075,891","138,154","10,369,105","140,213","8,719,976","184,508","1,079,304","13,687","1,147,764","17,973","658,101","15,237","1,083,031","30,865","1,182,427","19,551","955,380","16,820","1,110,275","23,966","1,211,245","26,888","1,120,070","27,167","1,012,972","23,281","1,045,929","22,021","1,082,137","20,385","999,226","19,203","1,179,248","19,212","954,766","21,015","966,387","196,809","861,666","170,136","686,687","142,556","608,260","123,403","232,091","42,172","208,935","36,182","168,377","30,935","193,507","34,954","561,268","731,059","759,536","430,468","556,846","772,970","644,720","808,958","817,448","854,866","460,169","473,887","784,514","725,844","526,528","595,908","601,676"
TX,OCHILTREE,48357,"2,378","2,889,513",781,"3,635,326","1,281","2,359,105","1,097","3,516,193","2,410","4,088,113","1,280","4,123,749","1,329","4,601,410","1,640","5,199,503","1,952","4,512,345","1,434","4,659,292","1,538","4,970,627","1,512","4,793,247","1,217","4,663,030","1,338","4,489,945","1,359","3,529,488","1,826","350,889",169,"402,518",209,"248,451",168,"439,373",335,"514,689",201,"445,610",170,"530,943",231,"593,751",255,"562,722",255,"521,492",224,"551,675",215,"534,817",199,"462,432",186,"510,628",186,"386,450",208,"1,266,733","1,666,820","1,279,768","2,274,269","1,327,844","1,871,513","1,111,593","1,625,874","338,133","448,090","342,998","626,762","360,446","525,509","294,184","445,252","705,459","633,835","952,992","590,337","822,351","695,211","629,531","712,582","759,001","786,615","756,515","1,260,413","813,419","763,835","669,606","811,815","892,581"
TX,OLDHAM,48359,"3,889","765,751",100,"839,996",175,"472,805",164,"606,926",342,"602,028",182,"511,619",192,"551,931",252,"602,945",302,"505,840",210,"504,884",218,"520,594",219,"524,424",156,"533,680",179,"538,341",186,"444,050",242,"92,989",22,"93,008",29,"49,794",25,"75,840",48,"75,795",29,"55,285",25,"63,686",36,"68,853",39,"63,082",37,"56,509",32,"57,779",31,"58,514",26,"52,925",25,"61,224",25,"48,620",28,"1,532,482","1,467,899","1,385,667","1,124,539","1,472,659","1,493,902","1,595,731","2,078,173","457,721","439,678","424,952","351,939","403,804","413,213","425,574","563,831","901,971","804,408","1,091,158","687,476","1,081,283","816,292","851,959","967,659","905,352","1,004,670","966,222","1,343,865","1,084,948","797,900","1,119,001","960,581","1,158,796"
TX,ORANGE,48361,936,"107,684","15,647","147,171","27,003","102,356","24,276","161,825","54,025","197,964","30,242","208,754","32,035","273,579","40,905","353,595","49,000","344,229","36,112","392,824","37,444","457,736","36,224","435,840","29,156","418,166","32,596","396,571","33,249","306,560","43,654","13,077","3,393","16,295","4,414","10,780","3,723","20,221","7,517","24,924","4,755","22,558","4,091","31,567","5,770","40,378","6,398","42,928","6,431","43,967","5,457","50,803","5,156","48,630","4,777","41,470","4,531","45,101","4,556","33,566","4,972","321,870","14,049","338,661","13,685","330,885","18,986","483,123","20,162","98,617","4,382","105,146","4,303","102,190","5,741","152,426","6,435","287,351","329,039","362,970","272,926","505,716","380,489","543,431","428,873","351,136","407,690","424,682","302,625","515,011","365,909","340,118","402,509","365,106"
TX,PALO PINTO,48363,"2,552","1,198,480","2,511","1,396,798","4,442","841,390","3,976","1,166,105","8,767","1,262,556","4,833","1,187,503","4,964","1,394,947","6,359","1,652,712","7,626","1,498,547","5,617","1,611,637","5,938","1,785,815","5,784","1,867,100","4,749","1,968,475","5,369","2,053,771","5,551","1,749,485","7,378","145,538",544,"154,659",726,"88,612",610,"145,713","1,220","158,955",760,"128,321",634,"160,959",897,"188,729",996,"186,880","1,000","180,383",865,"198,202",823,"208,326",778,"195,214",746,"233,569",761,"191,554",840,"1,764,683","102,395","1,821,132","146,550","1,762,747","151,270","2,161,522","213,858","553,456","30,259","565,738","39,304","553,811","42,823","669,791","56,060","717,376","778,149","860,612","448,681","1,071,528","1,280,411","953,320","1,038,202","732,895","986,258","940,519","866,443","1,153,592","843,405","821,630","1,095,164","1,009,558"
TX,PANOLA,48365,"2,127","1,623,232","2,196","1,991,395","3,921","1,262,524","3,520","1,841,505","7,836","2,098,369","4,297","2,077,274","4,502","2,054,245","5,697","2,032,883","6,863","1,521,847","5,097","1,328,906","5,299","1,166,905","5,170","1,358,723","4,157","1,566,678","4,604","1,763,479","4,688","1,603,655","6,180","197,118",476,"220,495",641,"132,964",540,"230,109","1,090","264,183",676,"224,469",575,"237,033",804,"232,143",896,"189,785",908,"148,738",772,"129,511",736,"151,602",681,"155,367",640,"200,555",642,"175,587",704,"1,801,035","1,132,554","1,595,269","1,186,920","1,615,518","1,115,581","1,775,217","1,456,326","580,980","318,943","517,183","330,201","520,668","309,527","581,840","421,096","656,551","889,358","754,734","585,642","1,134,462","1,107,994","1,242,608","741,192","674,466","912,483","883,012","832,070","922,594","765,971","770,077","918,926","995,432"
TX,PARKER,48367,"2,357","2,303,235","7,806","2,870,471","14,488","1,846,793","13,544","2,731,011","30,873","3,152,335","17,569","3,158,689","18,803","3,470,450","24,523","3,862,349","30,224","3,302,157","23,136","3,359,918","25,133","3,532,949","25,375","3,549,853","21,606","3,603,381","25,164","3,625,773","26,571","2,983,322","36,965","279,694","1,693","317,830","2,368","194,496","2,077","341,259","4,296","396,876","2,763","341,326","2,402","400,445","3,459","441,056","3,947","411,803","4,120","376,059","3,663","392,111","3,612","396,083","3,540","357,347","3,498","412,348","3,641","326,649","4,210","2,421,926","739,626","2,567,270","508,776","2,848,804","691,032","3,761,353","593,256","728,472","159,268","763,845","102,401","858,570","142,308","1,115,697","126,928","708,347","809,876","876,675","449,517","1,166,287","1,387,221","829,946","964,430","676,263","936,859","857,622","793,832","1,077,118","785,303","750,156","1,019,441","937,583"
TX,PARMER,48369,"2,293","10,644,733",777,"13,015,783","1,357","8,225,879","1,231","11,962,196","2,695","13,591,780","1,484","13,418,439","1,552","14,919,595","1,966","16,800,738","2,382","14,531,537","1,750","14,955,899","1,827","15,904,716","1,755","15,394,822","1,395","15,037,089","1,552","14,541,921","1,577","11,484,928","2,011","1,292,647",169,"1,441,159",222,"866,314",189,"1,494,759",375,"1,711,192",233,"1,449,989",198,"1,721,526",277,"1,918,540",311,"1,812,186",312,"1,673,942",266,"1,765,217",250,"1,717,711",229,"1,491,228",216,"1,653,809",216,"1,257,506",229,"1,609,344","5,139,283","2,252,624","6,470,317","3,620,485","8,025,483","3,098,479","9,959,356","451,166","1,512,340","599,877","1,813,193","941,613","2,230,450","766,506","2,663,513","446,658","514,706","550,980","354,362","592,513","322,134","434,846","520,380","375,952","493,857","401,332","554,611","662,491","325,206","801,566","459,742","645,037"
TX,PECOS,48371,"12,341","803,639",860,"959,742","1,415","592,743","1,253","842,802","2,726","936,791","1,468","905,171","1,506","1,131,765","2,020","1,412,037","2,451","1,337,348","2,089","1,492,882","2,147","1,708,452","2,086","1,747,461","1,644","1,804,851","1,860","1,847,039","1,866","1,545,036","2,389","97,590",186,"106,266",231,"62,425",192,"105,314",379,"117,941",231,"97,812",192,"130,591",285,"161,246",320,"166,777",372,"167,091",313,"189,616",297,"194,977",269,"178,987",259,"210,058",256,"169,169",272,"2,860,520","263,728","2,792,456","242,302","3,431,763","208,324","2,746,738","194,602","763,589","67,427","749,231","62,354","775,859","46,282","629,622","43,322","1,335,927","1,795,713","1,417,803","1,137,230","1,560,482","2,526,766","2,034,475","1,982,046","1,594,680","1,955,646","2,121,194","1,983,672","1,952,809","1,979,631","1,953,103","1,617,225","2,048,056"
TX,POLK,48373,"2,874","608,213","3,022","770,910","5,260","503,620","4,833","755,159","11,012","882,783","6,068","894,905","6,492","953,029","8,521","1,027,099","10,477","849,499","8,821","835,281","9,469","847,779","9,469","1,010,071","7,875","1,184,585","8,942","1,350,889","9,247","1,241,223","13,014","73,859",655,"85,358",860,"53,039",741,"94,362","1,532","111,142",954,"96,703",829,"109,967","1,202","117,288","1,368","105,939","1,571","93,489","1,380","94,092","1,348","112,701","1,290","117,475","1,243","153,633","1,267","135,904","1,482","870,894","60,011","1,001,737","85,725","925,125","63,903","1,003,048","83,002","274,092","17,646","243,082","18,437","296,335","20,090","322,041","25,203","819,704","850,454","897,326","719,919","1,786,704","1,190,143","1,616,858","1,232,436","959,633","1,262,723","1,123,357","747,700","1,573,594","933,796","1,031,609","1,473,421","1,147,830"
TX,POTTER,48375,"2,388","207,391","15,644","224,600","27,069","124,472","23,919","156,744","52,583","151,742","29,396","124,910","31,228","156,727","40,411","196,074","49,638","186,110","38,542","208,128","40,585","238,539","39,254","292,785","31,710","350,657","35,667","406,178","36,598","377,735","48,961","25,185","3,392","24,869","4,425","13,109","3,668","19,586","7,317","19,104","4,622","13,498","3,988","18,084","5,701","22,390","6,482","23,209","6,864","23,295","5,915","26,475","5,588","32,668","5,196","34,775","4,958","46,193","5,014","41,359","5,576","754,881","723,068","795,880","645,897","629,532","638,613","575,680","749,727","226,417","217,492","238,127","197,214","168,988","172,925","146,592","194,215","652,770","562,446","783,217","487,590","725,150","579,793","575,543","647,248","618,396","674,187","667,009","999,800","739,733","606,322","701,453","682,897","790,485"
TX,PRESIDIO,48377,"9,987","468,623",264,"539,497",476,"320,758",450,"438,399","1,035","467,653",548,"432,908",582,"409,394",759,"382,040",919,"263,834",685,"204,674",725,"148,281",706,"147,086",575,"147,387",663,"146,391",673,"118,891",903,"56,907",57,"59,735",78,"33,781",69,"54,781",144,"58,877",86,"46,780",74,"47,239",107,"43,627",120,"32,902",122,"22,908",106,"16,457",100,"16,411",94,"14,616",92,"16,649",92,"13,018",103,"1,909,777","176,073","1,500,342","130,185","1,367,331","83,003","1,665,394","117,991","594,469","52,493","480,329","39,975","433,964","25,887","412,513","28,383","1,009,277","1,365,530","655,263","687,348","1,013,569","1,603,096","1,452,681","1,366,304","1,177,457","1,366,702","1,357,952","1,342,426","1,301,835","1,439,979","1,210,294","1,056,363","1,418,219"
TX,RAINS,48379,671,"977,130",628,"1,281,298","1,123","861,927","1,048","1,325,855","2,364","1,585,138","1,324","1,639,233","1,415","1,685,475","1,860","1,747,447","2,289","1,384,462","1,772","1,297,433","1,904","1,247,492","1,930","1,250,712","1,651","1,266,805","1,930","1,271,916","2,025","1,044,292","2,972","118,658",136,"141,870",183,"90,774",161,"165,675",329,"199,567",208,"177,135",181,"194,482",262,"199,548",299,"172,652",316,"145,215",277,"138,455",275,"139,551",271,"125,629",268,"144,651",277,"114,342",338,"857,554","277,251","794,073","371,612","817,116","432,631","917,694","376,836","262,629","55,362","247,324","78,676","249,160","85,368","282,214","75,203","214,427","265,100","239,736","177,964","358,817","354,315","358,351","247,232","215,293","287,688","274,175","255,472","299,105","238,260","241,804","294,038","301,578"
TX,RANDALL,48381,"2,389","1,643,173","12,961","1,957,399","23,418","1,205,846","21,280","1,710,213","46,921","1,896,111","26,143","1,827,454","27,797","2,023,658","36,130","2,269,768","43,676","1,955,574","32,863","2,005,026","34,582","2,124,282","33,925","2,029,705","27,729","1,954,877","31,601","1,861,816","32,772","1,446,070","44,010","199,539","2,810","216,731","3,828","126,995","3,263","213,703","6,529","238,718","4,111","197,474","3,550","233,504","5,097","259,193","5,703","243,874","5,852","224,413","5,040","235,768","4,829","226,469","4,544","193,865","4,392","211,739","4,490","158,333","5,012","2,647,701","2,536,120","3,188,055","2,587,268","2,740,962","2,780,500","2,715,272","3,536,187","764,406","734,274","917,225","759,633","755,260","772,858","691,685","916,394","621,322","542,631","668,452","419,435","670,994","467,100","530,290","595,597","522,055","596,822","595,594","774,946","712,712","472,983","776,143","578,335","722,536"
TX,REAGAN,48383,"3,046","438,711",271,"563,970",476,"373,026",413,"565,513",896,"667,590",467,"682,729",491,"745,096",607,"823,663",688,"699,443",481,"706,848",481,"738,180",457,"674,521",364,"617,057",353,"553,401",346,"400,271",436,"53,275",59,"62,445",78,"39,285",63,"70,665",125,"84,049",73,"73,775",63,"85,974",86,"94,057",90,"87,226",86,"79,114",70,"81,928",65,"75,261",60,"61,194",49,"62,937",47,"43,826",50,"773,369","43,436","878,671","64,197","833,199","47,571","698,525","39,814","201,097","11,272","195,128","14,010","184,602","10,457","188,600","10,659","352,590","479,369","596,665","394,223","528,797","910,438","662,583","592,486","461,840","606,131","758,670","619,853","606,139","575,570","625,439","518,166","594,829"
TX,REAL,48385,"1,813","51,848",123,"64,052",214,"40,875",217,"59,990",463,"68,758",261,"68,444",283,"71,863",360,"76,272",432,"62,047",345,"59,920",381,"59,635",365,"60,080",302,"61,147",344,"61,688",360,"50,889",466,"6,296",27,"7,092",35,"4,305",33,"7,496",64,"8,657",41,"7,396",36,"8,292",51,"8,710",56,"7,738",61,"6,707",55,"6,619",52,"6,704",49,"6,064",48,"7,016",49,"5,572",53,"582,252","74,011","452,730","43,837","515,052","29,364","424,192","20,487","170,892","22,397","101,816","10,105","149,688","8,328","121,595","5,801","197,340","283,576","400,976","258,784","310,924","630,165","405,496","383,556","285,333","392,454","480,026","393,631","384,281","387,842","374,146","338,525","359,218"
